CID,train_mae,test_mae,train_mase,test_mase,train_mape,test_mape
7,4.207433157463409,4.43063729910939,5.228777401108412,7.086574599590886,1.5276879512773884,1.5192342325733252
4,41.82998277169804,11.579558085238643,135.40811934910974,12.014806745631528,13.991193382095524,8.418434539718382
13,0.8286417763846619,0.8492958895924964,1.0536311729590668,1.0691208879270917,2.227945353555115,2.7132036238809745
2,5.500128747817095,8.587591940251302,6.887941404826566,9.920813767587727,3.0150815894858236,3.6738103712204686
11,2.0980812284412673,1.5607980480093764,2.7119846370310214,1.9019889729370896,1.6373918001164791,1.026161758164754
15,21.737967054462022,7.585996353204991,44.19850771731397,9.614295814042228,5.6713852820251525,3.2520745722561433
16,0.33906847852982264,0.27315722418752364,0.4310407097685966,0.3687320971657886,2.5127672049597995,2.475563747945782
12,5.108372226913593,3.695575303176195,6.621749152912422,4.741044975001383,1.4808733351787886,0.9173198115065522
5,1.7877206619255182,1.5142547875101533,2.284258007085378,1.9429541814161726,2.0093697052602613,2.1457585233120113
14,4.273814876079872,6.528916165722314,5.650195434422751,8.665633354381397,2.470615384027171,2.948890592264802
3,2.9872294228406577,3.7577543406797433,3.7906044017873395,4.742525996333065,1.940291510814246,2.0569124862268784
9,1.377835132799653,1.3075608198236337,1.7720331571645898,1.6670125179244746,1.6112079400971941,1.6067452630767116
1,5.249871223227316,3.982225465294527,6.590419511819968,4.987829994753485,1.9545072194132473,1.1457125478348806
10,4.796157925463985,3.934123729738206,6.08098312322829,5.358336875041561,1.456904949830555,1.1556788459364506
6,6.053766488173056,4.493399131979337,7.768991873197624,5.894087394990535,1.2115430295357692,0.8706963520639401
8,2.3236367973003795,2.085239029553205,2.925113717762571,2.75729039030662,1.4963496810357158,1.0713805711169724
