CID,train_mae,test_mae,train_mase,test_mase,train_mape,test_mape
7,4.011293607617306,4.674587385173095,5.159956552846427,7.332706884570363,0.014694854537499967,0.01608727637417106
4,42.46427086506802,2.8462132340293578,140.88809243631724,3.5673646223480664,0.16246278263210223,0.020531269491157973
13,1.1283796980810692,0.6684692136426713,1.4027766572709475,0.8978666913214096,0.02930141553367574,0.021055749340727556
2,4.180459202679005,3.4085108585369115,5.383178547264683,4.743002346271398,0.024056335376879793,0.014734957823237515
11,2.1115394189647994,1.8735862783127948,2.6970886100831435,2.292270289292398,0.016390030508386565,0.012208020184208508
15,20.731141203107185,7.639654569147428,43.617858170459925,9.698006118852643,0.054708120456777025,0.033158813878682164
16,0.3833844691901445,0.22512981654019606,0.4803482120628263,0.29340950476804695,0.02774604454862712,0.02000964539159137
12,5.014695173520049,3.285550554391208,6.599551606823429,4.32609658833294,0.014577511893357594,0.008181301605025042
5,1.5565367907555003,1.25493393491938,2.0309591834406295,1.6488150826980383,0.01698715504134707,0.017639731172523102
14,4.118455913047117,4.622021734294988,5.4339791268083255,6.082070380545892,0.023683494818268584,0.021404056387938145
3,3.1690956521364817,3.938457700939161,4.03193476051174,4.873852204673349,0.020552106251967968,0.021566229452082364
9,1.2944557036797208,1.1394438898780848,1.6505682611315577,1.492765707609757,0.015097853302003418,0.013995691776080003
1,5.171719799773456,4.363715198031234,6.478994332941902,5.2555170816896615,0.019172535683476388,0.012454403716754473
10,5.077063275517163,4.594169854094795,6.329912016324598,6.046280953714261,0.015294726786955851,0.013247223155316717
6,6.163636232872274,4.983404327836066,7.828051718776391,6.4400583181830395,0.012262005445413773,0.009588009125019973
8,2.130798954571263,2.100457250574097,2.6936594362622235,2.7534953798508806,0.0136744883163505,0.010780947918273522
